Federated_Learning | INFO flwr 2024-04-29 14:04:15,655 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:04:15,656 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:04:28,604 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:04:28,605 | server.py:59 | {'accuracy': 0.46180763847230555, 'loss': 157.64491748809814}
Federated_Learning | INFO flwr 2024-04-29 14:04:28,605 | strategy.py:293 | There was a delay of 80.949027 seconds for round 12
Federated_Learning | INFO flwr 2024-04-29 14:04:28,606 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 14:04:28,606 | server.py:111 | [ROUND 13]
Federated_Learning | INFO flwr 2024-04-29 14:04:28,608 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:05:42,293 | server.py:238 | aggregate_fit: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:05:42,295 | server.py:176 | configure_evaluate: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:05:50,402 | server.py:190 | aggregate_evaluate: received 4 results and 0 failures
Federated_Learning | INFO flwr 2024-04-29 14:05:50,403 | server.py:59 | {'accuracy': 0.4615076984603079, 'loss': 154.93175532420477}
Federated_Learning | INFO flwr 2024-04-29 14:05:50,403 | strategy.py:293 | There was a delay of 81.796156 seconds for round 13
Federated_Learning | INFO flwr 2024-04-29 14:05:50,403 | server.py:110 | 
Federated_Learning | INFO flwr 2024-04-29 14:05:50,403 | server.py:111 | [ROUND 14]
Federated_Learning | INFO flwr 2024-04-29 14:05:50,404 | server.py:224 | configure_fit: strategy sampled 4 clients (out of 4)
Federated_Learning | INFO flwr 2024-04-29 14:06:59,050 | server.py:238 | aggregate_fit: received 4 results and 0 failures
