Federated_Learning | INFO flwr 2024-04-29 02:11:39,474 | client.py:232 | Node 1 is transmitter for slot 1
Federated_Learning | INFO flwr 2024-04-29 02:11:39,475 | client.py:309 | There is a delay of 0.7919999999999999 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:11:39,477 | client.py:232 | Node 1 is transmitter for slot 2
Federated_Learning | INFO flwr 2024-04-29 02:11:39,478 | client.py:309 | There is a delay of 0.7789999999999999 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:11:39,481 | client.py:232 | Node 2 is transmitter for slot 3
Federated_Learning | INFO flwr 2024-04-29 02:11:39,482 | client.py:309 | There is a delay of 0.574 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:11:39,483 | client.py:232 | Node 2 is transmitter for slot 4
Federated_Learning | INFO flwr 2024-04-29 02:11:39,505 | client.py:309 | There is a delay of 21.125 ms between this node and node 2
Federated_Learning | INFO flwr 2024-04-29 02:11:39,509 | client.py:232 | Node 1 is transmitter for slot 5
Federated_Learning | INFO flwr 2024-04-29 02:11:39,510 | client.py:309 | There is a delay of 0.472 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:11:39,512 | client.py:232 | Node 1 is transmitter for slot 6
Federated_Learning | INFO flwr 2024-04-29 02:11:39,533 | client.py:309 | There is a delay of 20.697 ms between this node and node 1
Federated_Learning | INFO flwr 2024-04-29 02:11:39,555 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:39,556 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:39,563 | app.py:534 | Sent reply
Federated_Learning | INFO flwr 2024-04-29 02:11:39,575 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:39,575 | app.py:459 | [RUN 0, ROUND ]
Federated_Learning | INFO flwr 2024-04-29 02:11:39,575 | app.py:465 | Received: evaluate message b09516d4-a77b-44ce-b8e8-b473b86cd137
Federated_Learning | INFO flwr 2024-04-29 02:11:39,589 | app.py:458 | 
Federated_Learning | INFO flwr 2024-04-29 02:11:39,590 | app.py:459 | [RUN 0, ROUND ]
